Error processing line 1: could not convert string to float: 'Longitude'
Error processing line 67: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.00588552651666&lon=82.67739673595585&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEB7510>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Error processing line 68: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=36.990576612454525&lon=82.67909036297424&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FED3910>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Error processing line 69: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=36.98940807195813&lon=82.68735924782864&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEC4D90>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Error processing line 70: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=36.994666592309684&lon=82.69283862935866&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEDEF10>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Latitude: 36.961600109016814, Longitude: 82.70280114123145 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.96043184585146, Longitude: 82.66454509563998 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.94150753929812, Longitude: 82.64541707284427 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.93847057791874, Longitude: 82.67689861036223 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.94337647613304, Longitude: 82.68765812318482 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 36.92784180750289, Longitude: 82.68347386819825 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
