Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.31854,31.582885,5,ttsgejmpekx8,Shah Alami Road,Shah Alami Road,Shah Alami Road,Walled City of Lahore,"Shah Alami Road, Walled City of Lahore, Walled City, Pakistan"
74.318562,31.524378,3,ttsg74v4u1br,Malik Fazal Din Road,Malik Fazal Din Road,Malik Fazal Din Road,Rehman Pura,"Malik Fazal Din Road, Rehman Pura, Model Town Tehsil 54357, Pakistan"
74.318585,31.58029,5,ttsgejj0s89p,Alamgir Market,,,Alamgir Market,"Alamgir Market, Walled City, Lahore District, Pakistan"
74.318607,31.566217,5,ttsge4mnt13f,McLeod Road,McLeod Road,McLeod Road,Qila Gujjar Singh,"McLeod Road, Qila Gujjar Singh, Civil Lines 54500, Pakistan"
74.318741,31.582169,5,ttsgejm72pjf,Walled City,,,,"Walled City, Lahore District, Pakistan"
74.318965,31.570244,5,ttsge5jqj2h9,Qila Gujjar Singh,,,Qila Gujjar Singh,"Qila Gujjar Singh, Civil Lines 54500, Pakistan"
74.320084,31.512475,4,ttsg70wjrrnu,Canal Bank Road,Canal Bank Road,Canal Bank Road,Muslim Town,"Canal Bank Road, Muslim Town, Model Town Tehsil 54357, Pakistan"
74.320486,31.447189,3,ttsfghy90ugh,EKL,EKL,Depot Road,,"EKL, 104 S Depot Road, PECO Factory 04200, Pakistan"
74.322903,31.543575,2,ttsg7q269hsb,Shadman,,,Shadman,"Shadman, Model Town Tehsil 57760, Pakistan"
74.323976,31.480123,4,ttsg56c140jx,1 Model Town Circular Road,,Model Town Circular Road,Model Town,"1 Model Town Circular Road, Model Town, Model Town Tehsil 54600, Pakistan"
74.324335,31.576151,5,ttsgek326t0s,Iqbal Saeed & Co Pumps,Iqbal Saeed & Co Pumps,Bull Road,Qila Gujjar Singh,"Iqbal Saeed & Co Pumps, 1 Bull Road, Qila Gujjar Singh, Civil Lines, Pakistan"
74.325498,31.520574,3,ttsg764htsun,johar colony sargodha,johar colony sargodha,johar colony sargodha,Shah Jamal,"johar colony sargodha, Shah Jamal, Model Town Tehsil 57760, Pakistan"
